ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV326,-1.228634669,,,,
ASV742,-20.34405431,236619.3854,-8.60E-05,0.999931527,
ASV836,-1.845891418,,,,
ASV954,-0.267930161,0.565924904,-0.473437658,0.636671349,0.809328505
ASV1025,-1.728793491,1.245075551,-1.38850489,0.16728715,0.288720874
ASV1585,-1.00487723,0.535975106,-1.874858029,0.06298889,0.121624515
ASV1636,1.662231398,1.734987224,0.958065497,0.339755128,
ASV1773,4.397981983,2.665207347,1.650146277,0.101255103,
ASV1863,-5.729221598,,,,
ASV2004,-19.33811777,111341.2478,-0.000173683,0.999861679,
ASV2329,-0.687196184,1.519154379,-0.452354411,0.651745139,
ASV2490,-19.31120947,55442.86975,-0.000348308,0.999722608,
ASV2780,-18.62611461,38101.49498,-0.000488855,0.999610677,
ASV2930,0.568578934,0.644444894,0.882277042,0.379206955,0.587419791
ASV3012,1.468863818,1.348448125,1.089299462,0.277976968,
ASV3088,-0.797848041,5.011800885,-0.159193882,0.873755814,
ASV3202,-2.04579313,3.178171891,-0.643701222,0.520869368,
ASV3330,-0.083053795,3.074455992,-0.027014143,0.978488643,
ASV3494,-2.676912061,1.286084325,-2.081443657,0.039296414,
ASV3607,1.073288869,1.866544638,0.57501377,0.566246201,
ASV3611,0.282725489,1.400668775,0.201850355,0.840339826,
ASV3678,1.924211142,1.215526549,1.583026833,0.115772713,
ASV3815,2.021487881,0.585517094,3.452483114,0.00074369,0.007776331
ASV3926,1.051338503,0.418482589,2.512263427,0.013182455,0.033588662
ASV4171,1.798093027,2.269401208,0.792320468,0.429574303,
ASV4287,-2.617717683,2.21692614,-1.180787053,0.239778963,
ASV4326,-0.063540159,2.322747898,-0.027355599,0.97821681,
ASV4341,6.149999291,1.46999507,4.183687019,5.16E-05,
ASV4911,1.205351095,1.472198508,0.818742234,0.414387171,
ASV5019,-0.123386401,2.694402565,-0.045793603,0.963542933,
ASV5088,1.146766272,0.354983877,3.230474244,0.001554956,0.008650953
ASV5214,-4.632188655,,,,
ASV5563,0.928456377,1.416411567,0.655499008,0.513270336,0.717005135
ASV6075,0.424151537,2.052366004,0.206664667,0.836585449,
ASV6145,-0.855706074,0.301563581,-2.837564376,0.005253157,0.015910713
ASV6321,2.800951359,3.057603334,0.916061063,0.361280513,
ASV6401,4.142954664,1.396783843,2.966067145,0.003572525,
ASV6708,0.128161276,1.057810769,0.121157092,0.903748099,
ASV6859,-0.541494778,2.543269223,-0.212912881,0.831718483,
ASV6949,-1.800250283,2.292210045,-0.785377538,0.433618684,
ASV7005,-3.433038405,1.442408318,-2.38007391,0.01871776,
ASV7165,-4.783848697,,,,
ASV7206,-20.26900764,65451.01064,-0.000309682,0.99975337,
ASV7418,-22.39900084,421470.974,-5.31E-05,0.999957676,
ASV7487,-1.836196507,1.564937116,-1.173335649,0.242742618,
ASV7506,-17.51615904,,,,
ASV7727,-0.083536592,1.618032223,-0.05162851,0.958901586,
ASV7766,-1.077603637,2.777735792,-0.387943173,0.698673672,
ASV8198,-24.35804466,1246533.591,-1.95E-05,0.999984438,
ASV8402,2.459820341,,,,
ASV8517,-1.757606569,2.203923859,-0.797489697,0.42657758,
ASV8717,1.286531595,2.098569352,0.613051741,0.540881243,
ASV9048,0.358296303,1.042345619,0.343740403,0.731580292,0.852881777
ASV9089,-18.62834846,,,,
ASV9369,3.130299989,4.160272287,0.75242671,0.453114212,
ASV9541,-0.068549276,0.910722548,-0.075269111,0.940112853,0.940000598
ASV9879,-3.962434233,,,,
ASV10032,-1.644184762,,,,
ASV10235,3.759397789,,,,
ASV10265,1.419892873,1.213736045,1.169853098,0.244136631,
ASV10567,3.518827189,1.150614674,3.058215116,0.002689119,0.010390785
ASV10589,-3.996910151,,,,
ASV10810,-1.502720383,0.704008396,-2.134520543,0.034620562,0.076533786
ASV11081,-0.133514455,0.553433486,-0.241247518,0.809732042,0.871621998